,OBJECTID,POBTOT_pctChange,POB65_MAS_pctChange,GRAPROES_pctChange,PROOCUP_C_pctChange,GRAPROES,pct_PRESOE05,pct_P3YM_HLI,pct_POCUPADA_1SM,pct_POCUPADA_1A2SM,pct_POCUPADA_2A5SM,pct_POCUPADA_5YMASSM,pct_VPH_P,pct_VPH_RENT,ACESOPER_CR0V_pct_total,ACESOAUT_CR0V_pct_total,RECUCALL_CTV_pct_total,SENALIZA_CTV_pct_total,ALUMPUB_CTV_pct_total,TELPUB_CTV_pct_total,BANQUETA_CTV_pct_total,ARBOLES_CTV_pct_total,RAMPAS_CTV_pct_total,PUESSEMI_CTV_pct_total,PUESAMBU_CTV_pct_total,M2_2000,M2_2010,M2_2016,pct2000_2010,pct2010_2016,pct2000_2016,Change_Artistas,Change_Bares,Change_Cafeterias,Change_Discotecas,Change_Esteticas,Change_Lavanderias,gentrified
204,12933,-0.5061587301587301,-0.3858267716535433,0.14828846792954473,1.4978373702422143,10.16235294117647,0.027640156453715776,0.0018252933507170801,0.02946031746031746,0.1443809523809524,0.1426031746031746,0.03453968253968254,0.7356087620988283,0.1879775853285787,1.0,0.8235294117647058,0.9411764705882352,0.8823529411764706,0.9411764705882352,0.35294117647058826,0.9411764705882352,0.7058823529411765,0.9411764705882352,0.05882352941176471,0.0,6476.56009384795,11867.435745531091,13858.928015224776,83.23671167359197,16.7811506411031,113.98594028934116,0.0,0.0,0.0,0.0,0.0,-1.0,1
205,12936,-0.16363128881445818,0.1362862010221465,0.1112088489848746,2.0009615384615387,10.567596153846157,0.009202453987730062,0.0009119548996849614,0.03572674621450003,0.13355662549717395,0.15693252389923942,0.061684460260972726,0.611625947767481,0.2926144341477113,1.0,0.981132075471698,0.9716981132075472,0.8867924528301887,0.9245283018867924,0.16981132075471694,0.9716981132075472,0.9339622641509434,0.07547169811320754,0.0,0.0,6736.50054411896,14333.333333333336,14038.614090702971,112.77120426935163,-2.0561807625374264,108.396243698946,0.0,0.0,5.0,0.0,-4.0,-1.0,1
206,12939,-0.10256410256410256,0.3080568720379147,0.10485758089243948,1.6256038647342996,10.142592592592594,0.006868131868131868,0.01510989010989011,0.03877423389618512,0.14352720450281425,0.14759224515322075,0.04690431519699812,0.5622641509433962,0.28176100628930817,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.0,0.925925925925926,0.7777777777777778,0.0,0.0,0.0,6486.767714311424,11894.923930846855,14206.740903870616,83.37212699328961,19.43532372685944,119.01109349926328,0.0,0.0,20.0,0.0,5.0,3.0,1
207,12940,-0.17566885411408378,-0.024390243902439025,0.14880163796218218,1.7196637426900585,10.040526315789473,0.013513513513513514,0.0,0.02624936900555275,0.11862695608278648,0.14790509843513375,0.034326097930338216,0.6645161290322581,0.2064516129032258,1.0,1.0,0.9,0.8,0.6,0.0,0.9,0.25,0.45,0.0,0.0,6530.038153444593,11813.521134496292,14347.786113169243,80.9104458029033,21.452240613281067,119.71978993110154,0.0,0.0,0.0,0.0,1.0,0.0,1
208,12942,-0.01985932974762102,0.6726190476190477,0.13716475095785466,1.2874704491725772,9.893333333333334,0.010356255178127587,0.0,0.03434009102192801,0.1708729830368225,0.14687629292511378,0.036822507240380636,0.5562913907284768,0.3245033112582781,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.9333333333333332,0.06666666666666668,0.0,0.0,6718.766869332727,12061.293246767384,14261.388685263471,79.51647201542579,18.240958025672327,112.26199632492741,0.0,0.0,3.0,0.0,1.0,0.0,1
209,12943,-0.1466236211998924,0.3978494623655914,0.09136340920448874,1.940579710144928,10.444347826086958,0.007874015748031496,0.005984251968503937,0.031476997578692496,0.1213344094700027,0.14769975786924938,0.05649717514124294,0.6767676767676768,0.22334455667789,0.9565217391304348,1.0,0.9565217391304348,1.0,0.7826086956521741,0.13043478260869565,1.0,0.8695652173913043,0.08695652173913042,0.0,0.0,6810.745179867636,11946.845855971811,14151.180124477494,75.41172867965079,18.45118196953897,107.77726593424713,0.0,0.0,3.0,0.0,-2.0,1.0,1
210,12946,0.6959349593495935,1.0208333333333333,0.15867579908675805,1.4683544303797469,10.15,0.01917545541706616,0.020134228187919462,0.02113821138211382,0.13495934959349593,0.12520325203252033,0.014634146341463415,0.6356589147286822,0.13178294573643412,1.0,0.5,0.8,0.2,0.8,0.0,0.6,0.6,0.1,0.0,0.0,5533.498728056125,11584.018066456674,14530.904719366748,109.34346668813733,25.439244276070657,162.59886255492717,0.0,0.0,0.0,0.0,0.0,0.0,0
211,12950,0.02782166052308233,0.2255813953488372,0.13032569282569273,1.559491978609625,10.579848484848483,0.022694309359269686,0.005460284958621278,0.034930665262418815,0.1463050728453572,0.1509566438476391,0.05520449359311919,0.6494880546075086,0.2552901023890785,1.0,0.9565217391304348,0.9710144927536232,0.8985507246376812,0.8840579710144928,0.0,0.8840579710144928,0.6376811594202898,0.3188405797101449,0.0,0.0,6738.379518297562,13194.101920366455,24794.8717948718,95.80526571023293,87.92390679200649,267.9649050271388,0.0,0.0,24.0,0.0,-6.0,1.0,2
212,12951,-0.13397209615061356,0.1477832512315271,0.1455447830101571,1.3894371345029242,10.447368421052632,0.023273706482015773,0.002500480861704174,0.040679105732055805,0.14624306606152296,0.1460749705832913,0.046562447470163054,0.6508916323731139,0.2352537722908093,1.0,0.9473684210526316,0.9736842105263158,0.631578947368421,0.9736842105263158,0.07894736842105263,0.9210526315789472,0.9210526315789472,0.3947368421052632,0.0,0.0,6778.556249915281,11961.12258550096,18333.33333333333,76.4553120828709,53.2743536593851,170.46073909267125,0.0,1.0,3.0,0.0,1.0,-2.0,1
213,12952,-0.3173734610123119,0.05,0.11381372250937473,1.18568665377176,9.990909090909092,0.014028056112224449,0.015030060120240482,0.030779753761969907,0.14979480164158687,0.1320109439124487,0.03898768809849521,0.6137724550898204,0.31736526946107785,1.0,1.0,0.9090909090909092,0.2727272727272727,0.9090909090909092,0.0,0.9090909090909092,0.9090909090909092,0.0,0.0,0.0,6291.925760935772,11712.381089264993,14512.247674630413,86.14938469208927,23.90518686188961,130.64874294499091,0.0,1.0,0.0,0.0,-1.0,1.0,2
